first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Lwin, Khin Maung;74;144;Thai-Myanmar border;1729;Elimination of Plasmodium falciparum in an area of multi-drug resistance;2015;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;1;;263;;;;;counted towards both: vivax as well as falciparum;qPCR;01.08.2012;31.08.2012;263;they only give results for those that underwent the MDA;WAHR;drug;three monthly rounds MDA (3 days of dihydroartemisinin-piperaquine 7.5/60mg/kg) only people above 14 years;;;;;;;;;38.6% at least one dose;;;;;;;;;01.06.2012;30.06.2012;;;;;;;;;;;;;;;;;WAHR;yes we know exactly what month;don't mention anything specific but there is probably some control as they dont say there was nothing;missing;;frequent;10;;0.8;NA;wet;;NA;all ages above 5 year olds;no, just one village;not necessary;NA;FALSCH;none found;17.027965;98.201389;observational;4.314;0.27;high;high;high;;high;high;high;
Lwin, Khin Maung;74;144;Thai-Myanmar border;1730;Elimination of Plasmodium falciparum in an area of multi-drug resistance;2015;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;1;;425;;;;;counted towards both: vivax as well as falciparum;qPCR;01.12.2012;31.12.2012;425;they only give results for those that underwent the MDA;WAHR;drug;three monthly rounds MDA (3 days of dihydroartemisinin-piperaquine 7.5/60mg/kg) only people above 14 years;;;;;;;;;38.6% at least one dose;;;;;;;;;01.06.2012;30.06.2012;;;;;;;;;;;;;;;;;WAHR;yes we know exactly what month;don't mention anything specific but there is probably some control as they dont say there was nothing;missing;;frequent;10;;0.8;NA;cool season (=dry?);;NA;all ages above 5 year olds;no, just one village;not necessary;NA;FALSCH;none found;17.027965;98.201389;observational;4.314;0.27;high;high;high;;high;high;high;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1732;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;10;1;308;counted separately;uPCR;20.05.2013;21.05.2013;308;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;wet;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1733;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;2;3;284;counted separately;uPCR;20.08.2013;21.08.2013;284;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;wet;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1734;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;1;0;283;counted separately;uPCR;07.11.2013;08.11.2013;283;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;wet;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1735;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;2;0;318;counted separately;uPCR;28.01.2014;31.01.2014;318;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;dry;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1736;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;256;counted separately;uPCR;23.04.2014;24.04.2014;256;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;dry;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1737;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;0;226;counted separately;uPCR;14.07.2014;15.07.2014;226;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;wet;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1738;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;0;259;counted separately;uPCR;14.10.2014;15.10.2014;259;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;wet;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.081;0.082;high;high;;;low;low;;
Chaumeau, Victor;8;9;Myanmar, Kayin State, B1-TPN;1739;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;0;0;239;counted separately;uPCR;26.03.2015;27.03.2015;239;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ (chauemau);;frequent;10;;0.8;NA;dry;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.034;0.05;high;high;;;low;low;;
Loha, Eskindir;51;150;Ethiopia, Adami Tullu;1742;Long-lasting insecticidal nets and indoor residual spraying may not be suficient to eliminate malaria in a low malaria incidence area: results from a cluster randomized controlled trial in ethiopia;2019;WAHR;WAHR;active and passive case detection, fever or history of fever and RDT positive, weekly visits;RDT;76;146;71;;;;;;;;;;;;;reported seperately;;01.09.2014;8839;31.01.2017;;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;control;control;;;;;;;;;;;;;;;;;;01.07.2014;30.09.2014;;;;;;;;;;;;;;;;;FALSCH;pretty much, is in additional file;no IRS year prior to study, LLIN was around 11%;Pf:AL, Pv:chloroquine;;long;7;;0.6;both;NA;;all ages;NA;yes;yes, did take into account clustering of villages for analysis, also repeated measurements in same invidual;44;WAHR;website open science framework;7.834326;38.610447;RCT;1.715;0.432;low;;;;low;;;
Loha, Eskindir;51;150;Ethiopia, Adami Tullu;1743;Long-lasting insecticidal nets and indoor residual spraying may not be suficient to eliminate malaria in a low malaria incidence area: results from a cluster randomized controlled trial in ethiopia;2019;WAHR;WAHR;active and passive case detection, fever or history of fever and RDT positive, weekly visits;RDT;69;173;36;;;;;;;;;;;;;reported seperately;;01.09.2014;8521;31.01.2017;;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;vector;LLIN (used nets before (11%), not sure which round);;;;;;;;;all hosueholds got them depending on household size, however LLIN use lower half a year around 50%, then 26% and in second yar only around 6-8%;;;;;;;;;01.07.2014;30.09.2014;;;;;;;;;;;;;;;;;FALSCH;pretty much, is in additional file;no IRS year prior to study, LLIN was around 11%;Pf:AL, Pv:chloroquine;;long;7;;0.6;both;NA;;all ages;NA;yes;yes, did take into account clustering of villages for analysis, also repeated measurements in same invidual;44;WAHR;website open science framework;7.834326;38.610447;RCT;1.715;0.432;low;;;;low;;;
Hii, Jeffrey L.K.;55;151;Solomon Islands;1744;Impact of permethrin-impregnated mosquito nets compared with DDT house-spraying against malaria transmission by Anopheles farauti and An. Punctulatus in the Solomon Islands;1993;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;12.00;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;;34;;;;;doesn't say;;01.02.1988;29.02.1988;34;added two villaes together because didnt test that many. Would have values separetly though;WAHR;control;none;none;;;;;;;;;;;;;;;;;01.09.1986;04.09.1986;01.08.1987;31.08.1987;;;;;;;;;;;;;;;WAHR;;regular DDT spraiyng withdrawn 18 months prevoiously to survey in feb;doesn't say;;frequent;12;;0.2;NA;wet;between nov87 and april 88: pf:0.915 and 1.872, Pv: 0.693 and 0.928;NA;1-9 year olds;yes;no, data for two villages combined, otehrwise very small sample size… not adjusted though for cluserting, would be there sperately;2;FALSCH;none found;-9.628197;160.035363;trial;4.25;11.961;high;high;;;high;high;;
Hii, Jeffrey L.K.;55;151;Solomon Islands;1745;Impact of permethrin-impregnated mosquito nets compared with DDT house-spraying against malaria transmission by Anopheles farauti and An. Punctulatus in the Solomon Islands;1993;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;14.00;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;6;;29;;;;;doesn't say;;01.02.1988;29.02.1988;29;added two villaes together because didnt test that many. Would have values separetly though;WAHR;vector;introduction benets/Permethrin-net re impregnation (first time or don't mentioned it happened before);Permethrin-net re impregnation;;;;;;;;375 nets for 580 people;missing;;;;;;;;01.09.1986;04.09.1986;01.08.1987;31.08.1987;;;;;;;;;;;;;;;WAHR;;regular DDT spraiyng withdrawn 18 months prevoiously to survey in feb;doesn't say;;frequent;12;;0.2;NA;wet;between nov87 and april 88: pf:0 and 0.076, Pv: 0.031 and 0.152;NA;1-9 year olds;yes;no, data for two villages combined, otehrwise very small sample size… not adjusted though for cluserting, would be there sperately;2;FALSCH;none found;-9.628197;160.035363;trial;4.25;11.961;high;high;;;high;high;;
Rowland, Mark;65;152;Pakistan, Sheikhupura district;1748;Indoor residual spraying with alphacypermethrin controls malaria in pakistan: a community-randomized trial;2000;WAHR;FALSCH;active case detection, fever in previous 3 days and positive slide;microscopy;;;;18.7;;;29.5;;;;;;;;;doesn't say;cases per 1000 person years!;01.07.1997;6567;31.01.1998;we would also have before and after as well as some more seasonality;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;32;;831;;;;;doesn't say;;01.09.1997;30.09.1997;831;;WAHR;vector;control to spraying;;;;;;;;;;;;;;;;;;01.06.1997;30.06.1997;;;;;;;;;;;;;;;;;WAHR;;not sure, spraying has been used in pakistan before, doesnt say about this area, assume that maybe not becuase did a control with no spraying at all;treatment with chloroquine three days 25mg per kg;;long;8;;0.8;both;wet;;all ages;5-15 year old school children;yes;no;20;FALSCH;none found;31.698527;74.104735;RCT;0.192;0.004;high;;;;low;;;
Rowland, Mark;65;152;Pakistan, Sheikhupura district;1749;Indoor residual spraying with alphacypermethrin controls malaria in pakistan: a community-randomized trial;2000;WAHR;FALSCH;active case detection, fever in previous 3 days and positive slide;microscopy;;;;3.7;;;1.4;;;;;;;;;doesn't say;cases per 1000 person years!;01.07.1997;6017;31.01.1998;we would also have before and after as well as some more seasonality;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;5;;891;;;;;doesn't say;;01.09.1997;30.09.1997;891;;WAHR;vector;spraying (alphacypermethrin wettable powder),  spraying happened in pakistan before but doesnt say anything about this area;;;;;;;;;96%;;;;;;;;;01.06.1997;30.06.1997;;;;;;;;;;;;;;;;;WAHR;;not sure, spraying has been used in pakistan before, doesnt say about this area, assume that maybe not becuase did a control with no spraying at all;treatment with chloroquine three days 25mg per kg;;long;8;;0.8;both;wet;;all ages;5-15 year old school children;yes;no;20;FALSCH;none found;31.698527;74.104735;RCT;0.192;0.004;high;;;;low;;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1750;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;33.4;;;8.33;0.27;46.92;;;;;;;counted towards both;cases per 1000 person months;01.05.2013;between 297 and 366 people;31.05.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1751;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;44.48;;;9.62;2.05;27.98;;;;;;;counted towards both;cases per 1000 person months;01.06.2013;between 297 and 366 people;30.06.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1752;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;13.38;3.7;33.85;0.1;0;12.26;;;;;;;counted towards both;cases per 1000 person months;01.07.2013;between 297 and 366 people;31.07.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1753;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;10.07;2.01;29.05;0.14;0;12.18;;;;;;;counted towards both;cases per 1000 person months;01.08.2013;between 297 and 366 people;31.08.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
Chaumeau, Victor;8;145;Myanmar, Kayin State, B1-TPN;1754;Contribution of Asymptomatic Plasmodium Infections to the Transmission of Malaria in Kayin State, Myanmar;2019;WAHR;FALSCH;(history of) fever LM positive or RDT;RDT or microscopy;;;;19.42;7.13;42;0.19;0;11.85;;;;;;;counted towards both;cases per 1000 person months;01.09.2013;between 297 and 366 people;30.09.2013;webplotdigitizer;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;drug and vector;LLIN (none before mentioned);MDA (low dose primaquine, dihydroartemisinin-piperaquine, three rounds, 1 monthly, no mention of any MDA done before;;;;;;;;LLINs to all households;57% three rounds, 18% two, 17% one;;;;;;;;20.05.2013;20.05.2013;28.01.2014;03.02.2014;;;;;;;;;;;;;;;WAHR;yes supplement, strat date and when MP was put there in Landier;Also malaria posts when LLIN implemented;Pf:AL other CQ;;frequent;10;;0.8;wet;NA;Pf EIR before MDA: 0.12 (CI0.01-0.38), Pv EIR missing;all ages above 6 months;all ages above 6 months;no on village level because village sgiven sperately, adjusted in analysis for repeated measurements in individuals;no, but not necessary, addressed for repeated measurements in individuals;NA;FALSCH;no data available found;17.26316;97.773639;RCT (pilot), but took before time points;1.518;0.18;high;high;;;low;low;;
